# Img   rel_time   rel_X   rel_Y   rel_Z   roll   pitch   yaw
351    14.62501   -47088.73    1486.086    2985.469    1.658936    3.779297    161.8945   
352    14.65415   -47087.95    1483.587    2985.469    1.658936     3.78479    161.8945   
353    14.71228   -47085.62      1476.1    2985.438    1.653442    3.795776       161.9   
355    14.77065   -47083.29    1468.614    2985.406    1.653442     3.80127       161.9   
356    14.79965   -47081.73    1463.617    2985.375    1.647949    3.806763    161.9055   
357    14.85765    -47079.4     1456.13    2985.344     1.63147    3.812256    161.9055   
358     14.8869   -47078.63    1453.632    2985.344    1.625977    3.817749    161.9055   
359    14.94528    -47076.3    1446.145    2985.312    1.625977    3.823242     161.911   
360    15.00315   -47073.88    1438.675    2985.375    1.604004    3.828735     161.911   
361     15.0324   -47072.33    1433.687    2985.344    1.604004    3.834229    161.9165   
362    15.09066   -47070.78     1428.69    2985.312    1.598511    3.834229    161.9165   
364     15.1199   -47069.23    1423.693    2985.312    1.587524    3.834229    161.9165   
365    15.17803    -47066.9    1416.207    2985.281    1.576538    3.839722     161.922   
366     15.2364   -47064.58     1408.72     2985.25    1.571045    3.845215    161.9275   
367     15.2654   -47063.81    1406.222     2985.25    1.565552    3.850708    161.9275   
368    15.32376   -47062.26    1401.225    2985.219    1.554565    3.856201    161.9275   
369     15.3819   -47059.16     1391.24    2985.188    1.543579    3.867188     161.933   
370    15.41103   -47058.39    1388.741    2985.188    1.538086    3.867188     161.933   
371    15.46951   -47056.07    1381.255    2985.156    1.521606    3.878174    161.9385   
373     15.4984   -47054.52    1376.258    2985.125    1.516113    3.878174    161.9385   
374    15.55678    -47052.2    1368.763    2985.094    1.505127     3.88916     161.944   
375    15.61503   -47049.89    1361.277    2985.094    1.483154    3.900146    161.9495   
376     15.6439   -47049.11    1358.778    2985.062    1.472168     3.90564    161.9495   
377    15.70215    -47046.8    1351.283    2985.062    1.466675    3.911133    161.9604   
378    15.73128   -47046.03    1348.784    2985.031    1.461182    3.916626    161.9604   
379    15.78939   -47043.72    1341.298    2985.031    1.444702    3.927612    161.9659   
381    15.84753    -47041.4    1333.803        2985    1.433716    3.933105    161.9714   
382    15.87665   -47039.86    1328.806    2984.969    1.433716    3.938599    161.9769   
383    15.93516   -47037.54    1321.311    2984.969    1.417236    3.949585    161.9824   
384    15.96403   -47036.77    1318.822    2984.969    1.417236    3.955078    161.9824   
